Name,Address,Precinct,NOTES,X,Y
Arterra,"2161 Quail Creek Drive, Lawrence, KS, USA 66047","16, 46",,-95.28213511,38.94460291
Brandon Woods - Smith Center,"4730 Brandon Woods Terrace, Lawrence, KS, USA 66047",19,,-95.30513773,38.95434578
American Legion,"3408 West 6th Street, Lawrence, KS, USA 66049","6, 13",,-95.28013611,38.97166443
Central United Methodist Church,"1501 Massachusetts Street, Lawrence, KS, USA 66044","25, 26",,-95.23591621,38.95671841
Checkers Foods,"2300 Louisiana Street, Lawrence, KS, USA 66046",29,,-95.24177549,38.94229118
Carnegie Building,"200 West 9th Street, Lawrence, KS, USA 66044","2, 3, 7",,-95.23739628,38.96772393
Burge Union,1601 Irving Hill Road,10,,-95.25507363,38.95581052
Cider Gallery,"810 Pennsylvania Street, Lawrence, KS, USA 66044",39,,-95.22891992,38.96873093
Christ Covenant Reformed Presbyterian Church,"2312 Harvard Rd, Lawrence, KS, USA 66049",11,,-95.26306905,38.96458822
Clinton Presbyterian Church,590 N 1200 Rd,51,,-95.39381416,38.91275407
Doubletree Hotel,"200 McDonald Drive, Lawrence, KS, USA 66044","4, 5, 42",,-95.25711823,38.97978218
Connect Church,3351 W 31st Street,"22, 76",,-95.27754979,38.92814249
Douglas County Courthouse (Precinct Location),"1100 Massachusetts Street, Lawrence, KS, USA 66044",ALL,,-95.23587798,38.96343986
Douglas County Human Services Building,"2518 Ridge Ct, Lawrence, KS, USA 66046","30, 32",,-95.25815583,38.93799977
East Lawrence Recreation Center,"1245 East 15th Street, Lawrence, KS, USA 66044",35,,-95.22030634,38.95697783
Eudora Community Center,1638 Elm Street,"50, 54",,-95.097908,38.93111035
Eudora Baptist Church,525 W 20th St,53,,-95.10432435,38.92695234
First Baptist Church,"1330 Kasold Drive, Lawrence, KS, USA 66049","12, 23, 24",,-95.27887723,38.95999917
Eudora City Hall,4 E 7th St,52,,-95.09859465,38.94664005
First Church of the Nazarene,"1470 N 1000 Rd, Lawrence, KS, USA 66046","66, 69",,-95.22938528,38.88457876
First Southern Baptist Church,1330 Kasold Drive,"20, 71",,-95.27887723,38.95999917
First Presbyterian Church,"2415 Clinton Parkway, Lawrence, KS, USA 66047","14, 17",,-95.26450344,38.94226067
County Clerk Elections Office,"711 W 23rd St #1, Lawrence, KS 66046, USA",ALL,All Douglas County residents may vote at this location.,-95.2437439,38.94279858
Good Shepherd Lutheran Church,"2161 Quail Creek Drive, Lawrence, KS, USA 66047",47,,-95.28213511,38.94460291
Haskell University - LIGHT,137 Pawnee Ave,34,,-95.23407747,38.94094459
Flory Meeting Hall - Fairgrounds,"2120 Harper St, Lawrence, KS 66046, USA","36, 37, 38.1, 77",,-95.21219626,38.94562529
Grant Township Community Center,"1853 E 1600 Rd, Lawrence, KS, USA 66044",55,,-95.2055054,39.00856396
Lawrence Heights Christian Church,"2321 Peterson Rd, Lawrence, KS, USA 66049","44, 64",,-95.2629548,38.98606873
Immanuel Lutheran Church,"2104 West 15th Street, Lawrence, KS, USA 66044",15,,-95.26135365,38.95705685
Lawrence Union Pacific Depot,"402 North 2nd Street, Lawrence, KS, USA 66044",41,,-95.23528287,38.97862627
Kanwaka Township Hall,"776 Highway 40 West, Lawrence, KS, USA 66049",56,,-95.36278528,38.97135547
Lawrence-Douglas County Health Department,"200 Maine Street, Lawrence, KS, USA 66044",1,,-95.24759664,38.97988121
Lecompton Community Building,333 Elmore Street,"57, 58",,-95.39444733,39.04476544
Marion Township Hall,501 E 300 Rd,59,,-95.44619754,38.81180569
Redemption Hill Church,"802 West 22nd Terrace, Lawrence, KS, USA 66046","27, 28",,-95.24446868,38.94375236
Rev City Church,"700 Wakarusa Drive, Lawrence, KS, USA 66049","18, 48",,-95.30695334,38.96905523
Lumberyard Arts Center,718 High St,"60, 62",,-95.18841563,38.77494816
Sports Pavilion Lawrence,"100 Rock Chalk Lane, Lawrence, KS, USA 66049",74,,-95.32843775,38.98291781
Southside Church of Christ,1105 W 25th St,31,,-95.24839778,38.9387054
University Community of Christ Church,1900 University Dr,"9, 21",,-95.25885781,38.9607048
Trinity Lutheran Church,"1245 New Hampshire Street, Lawrence, KS, USA 66044","8, 40",,-95.23476403,38.96002205
Theatre Lawrence,"4660 Bauer Farm Drive, Lawrence, KS, USA 66049","43, 70",,-95.30260464,38.97249994
St. Margaret's Episcopal Church,5700 W 6th St,"45, 49",,-95.32318121,38.97161108
Vinland Valley Community Church,1724 N 692 Rd,63,,-95.18202979,38.8393822
Vintage Church,"1501 New Hampshire Street, Lawrence, KS, USA 66044",33,,-95.23474886,38.95685189
Willow Springs Township Hall,"303 E 1100 Rd, Baldwin City, KS, USA 66006",67,,-95.29763803,38.78299324
